----------Ground truth data----------
    CV  CA  DS  LD  MM
0    8  44  16  15   7
3   58  92  86   6  59
6   75   5  37  46  15
9   23   4  79  95  40
12   5  66  90  52  32
15  60  85  35  60  72
18  69  92  46  31  41
21  34  67  12  68  24
24  86   7  50  41  95
-------------------------------------

-----------Predicted data------------
              4        CV        CA         DS         LD
miss  10.091014  5.679342  66.57986  28.412508  32.902175
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss   9.982907       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss   9.874799       NaN       NaN        NaN        NaN
miss   9.838763       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN  43.633935
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
miss        NaN       NaN       NaN        NaN        NaN
0           NaN       NaN       NaN        NaN        NaN
3           NaN       NaN       NaN        NaN        NaN
6           NaN       NaN       NaN        NaN        NaN
9           NaN       NaN       NaN        NaN        NaN
12          NaN       NaN       NaN        NaN        NaN
15    10.331911       NaN       NaN        NaN        NaN
18          NaN       NaN       NaN        NaN        NaN
21          NaN       NaN       NaN        NaN        NaN
24     9.957731       NaN       NaN        NaN        NaN
-------------------------------------

